fullName,phone,residence,email,service,foodQuality,beverageQuality,atmosphere,valueForMoney,cleanliness,staffFriendliness,experience,interests,visitedBefore,visitFrequency,source,otherSource,timestamp,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Sneha Joshi,9540749291,Bangalore,sneha114@gmail.com,4,2,3,2,4,4,4,Service was okay,"Donating, Adopting",Yes,2,Other,Ads,"04/16/2026, 10:40:38 PM",,,,,,,,
Aditya Roy,9167431583,Kolkata,aditya702@gmail.com,2,2,2,4,2,4,2,Good but can improve,"Fostering, Adopting, Volunteering, Donating",Yes,2,Word of Mouth,,"04/17/2026, 1:55:46 AM",,,,,,,,
Rohit Jain,9413726996,Surat,rohit167@gmail.com,2,3,4,2,4,4,4,Service was okay,"Donating, Adopting, Fostering, Volunteering",Yes,3,Google,,"04/17/2026, 3:47:48 AM",,,,,,,,
Neha Verma,9429007864,Indore,neha686@gmail.com,2,1,1,1,2,1,2,Terrible experience overall,Fostering,No,5,Google,,"04/17/2026, 7:44:26 PM",,,,,,,,
Vikram Desai,9069455465,Pune,vikram439@gmail.com,2,1,1,1,2,1,2,Terrible experience overall,"Adopting, Donating",Yes,3,Word of Mouth,,"04/18/2026, 6:53:47 AM",,,,,,,,
Dev Shah,9607485537,Bangalore,dev491@gmail.com,4,4,5,5,4,5,5,Top quality in every aspect,"Adopting, Donating",No,4,Other,Ads,"04/18/2026, 8:40:52 AM",,,,,,,,
Ishita Gupta,9098815955,Surat,ishita404@gmail.com,1,1,1,1,2,2,1,Terrible experience overall,"Fostering, Adopting, Volunteering",No,5,Other,Ads,"04/18/2026, 10:31:59 AM",,,,,,,,
Riya Sharma,9148386612,Jaipur,riya75@gmail.com,5,4,5,4,4,5,4,"Absolutely loved it, will come again","Donating, Fostering, Adopting, Volunteering",Yes,5,Google,,"04/18/2026, 3:07:47 PM",,,,,,,,
Rohit Jain,9839725225,Indore,rohit136@gmail.com,1,2,2,2,1,1,2,"Not satisfied, won't visit again",Adopting,Yes,1,Other,Ads,"04/18/2026, 9:42:06 PM",,,,,,,,
Pooja Reddy,9764000595,Jaipur,pooja480@gmail.com,4,2,4,4,3,3,2,"Decent place, nothing special","Adopting, Donating, Volunteering",No,2,Other,Walk-in,"04/19/2026, 12:47:38 AM",,,,,,,,
Arjun Kapoor,9416517607,Nagpur,arjun815@gmail.com,4,3,4,2,4,2,3,"Decent place, nothing special","Volunteering, Donating, Adopting",Yes,2,Other,Walk-in,"04/19/2026, 1:45:53 PM",,,,,,,,
Karan Patel,9980993188,Chandigarh,karan798@gmail.com,1,2,2,2,2,1,2,Cleanliness was unacceptable,"Fostering, Volunteering, Adopting",Yes,4,Word of Mouth,,"04/19/2026, 10:06:14 PM",,,,,,,,
Priya Nair,9273962645,Kolkata,priya324@gmail.com,2,2,2,1,2,1,1,"Not satisfied, won't visit again",Donating,No,2,Instagram,,"04/21/2026, 3:25:01 AM",,,,,,,,
Tanvi Kulkarni,9663870345,Mumbai,tanvi688@gmail.com,4,4,4,5,4,5,5,"Amazing experience, loved everything","Volunteering, Adopting, Fostering, Donating",No,4,Word of Mouth,,"04/22/2026, 2:15:37 AM",,,,,,,,
Dev Shah,9281747169,Chennai,dev141@gmail.com,4,5,4,4,5,4,5,Perfect ambience and service,"Fostering, Volunteering",No,5,Google,,"04/23/2026, 8:03:11 AM",,,,,,,,
Priya Nair,9067789731,Bangalore,priya171@gmail.com,2,1,2,1,1,1,1,Cleanliness was unacceptable,Fostering,Yes,2,Other,Event,"04/23/2026, 10:30:11 AM",,,,,,,,
Pooja Reddy,9923234531,Nagpur,pooja969@gmail.com,4,4,4,4,4,4,5,Perfect ambience and service,"Adopting, Fostering, Donating, Volunteering",No,5,Instagram,,"04/24/2026, 12:53:21 AM",,,,,,,,
Ishita Gupta,9494341597,Bangalore,ishita489@gmail.com,1,2,2,2,1,1,2,Food quality was poor,Volunteering,No,5,Other,Walk-in,"04/24/2026, 3:05:24 AM",,,,,,,,
Aarav Mehta,9836685305,Indore,aarav793@gmail.com,5,4,4,4,5,5,5,Fantastic food and great staff,"Adopting, Volunteering, Donating",Yes,5,Google,,"04/24/2026, 3:08:49 AM",,,,,,,,
Riya Sharma,9717612585,Delhi,riya831@gmail.com,4,4,4,4,4,5,5,"Absolutely loved it, will come again","Volunteering, Donating, Adopting, Fostering",Yes,2,Word of Mouth,,"04/24/2026, 8:38:30 AM",,,,,,,,
Meera Pillai,9741676606,Delhi,meera315@gmail.com,4,4,5,4,5,4,5,"Absolutely loved it, will come again","Adopting, Volunteering",Yes,2,Word of Mouth,,"04/25/2026, 11:36:19 AM",,,,,,,,
Arjun Kapoor,9225185709,Hyderabad,arjun946@gmail.com,2,2,2,4,3,4,4,Good but can improve,"Fostering, Donating",Yes,1,Word of Mouth,,"04/25/2026, 5:08:35 PM",,,,,,,,
Sahil Khan,9708967963,Delhi,sahil605@gmail.com,1,1,1,2,1,1,1,Very bad service and rude staff,Donating,Yes,1,Instagram,,"04/25/2026, 7:04:23 PM",,,,,,,,
Aarav Mehta,9515448981,Delhi,aarav814@gmail.com,4,5,4,4,4,5,5,Perfect ambience and service,"Adopting, Fostering",No,4,Other,Ads,"04/26/2026, 12:28:33 PM",,,,,,,,
Sneha Joshi,9816547557,Noida,sneha335@gmail.com,2,1,1,2,2,1,2,Terrible experience overall,"Volunteering, Adopting",Yes,5,Other,Ads,"04/27/2026, 4:51:46 AM",,,,,,,,
Vikram Desai,9725833100,Hyderabad,vikram596@gmail.com,2,1,1,1,1,1,1,"Not satisfied, won't visit again","Donating, Volunteering, Adopting, Fostering",Yes,1,Other,Walk-in,"04/27/2026, 7:23:52 AM",,,,,,,,
Meera Pillai,9000851511,Kolkata,meera633@gmail.com,2,3,3,2,2,3,4,"Decent place, nothing special",Donating,No,2,Word of Mouth,,"04/28/2026, 12:08:02 PM",,,,,,,,
Aarav Mehta,9041430755,Mumbai,aarav874@gmail.com,3,3,3,3,3,3,2,"Decent place, nothing special","Adopting, Volunteering",No,3,Google,,"04/29/2026, 5:39:51 AM",,,,,,,,
Rahul Singh,9408769420,Hyderabad,rahul648@gmail.com,4,2,2,4,4,4,4,"Decent place, nothing special",Volunteering,Yes,5,Other,Walk-in,"04/29/2026, 8:30:54 AM",,,,,,,,
Ananya Iyer,9810163382,Noida,ananya296@gmail.com,1,1,1,1,1,2,2,"Not satisfied, won't visit again","Donating, Volunteering, Fostering",Yes,2,Other,nan,"04/29/2026, 2:53:51 PM",,,,,,,,
Ananya Iyer,9763451909,Jaipur,ananya853@gmail.com,5,4,5,5,4,4,5,"Absolutely loved it, will come again","Donating, Volunteering, Fostering, Adopting",Yes,5,Other,Ads,"04/29/2026, 7:33:02 PM",,,,,,,,
Ananya Iyer,9844870385,Ahmedabad,ananya694@gmail.com,2,2,1,2,1,2,2,"Not satisfied, won't visit again","Adopting, Volunteering",Yes,1,Other,Ads,"04/30/2026, 5:18:26 AM",,,,,,,,
Ananya Iyer,9640927227,Noida,ananya685@gmail.com,4,5,4,4,5,4,4,"Amazing experience, loved everything","Adopting, Donating, Fostering, Volunteering",Yes,2,Other,Event,"04/30/2026, 11:39:30 AM",,,,,,,,
Aarav Mehta,9874144584,Ahmedabad,aarav596@gmail.com,2,1,1,1,2,1,2,"Not satisfied, won't visit again","Donating, Volunteering",No,2,Google,,"04/30/2026, 12:58:40 PM",,,,,,,,
Dev Shah,9354118292,Noida,dev787@gmail.com,4,3,3,2,4,2,2,Average experience overall,"Volunteering, Adopting",No,3,Other,Event,"04/30/2026, 6:36:26 PM",,,,,,,,
Aarav Mehta,9293629272,Ahmedabad,aarav918@gmail.com,3,3,2,3,2,3,3,"Decent place, nothing special","Fostering, Volunteering, Adopting",No,5,Instagram,,"04/30/2026, 9:24:41 PM",,,,,,,,
Manav Bansal,9046234912,Noida,manav278@gmail.com,5,5,4,5,4,5,4,"Amazing experience, loved everything","Fostering, Donating, Adopting",No,4,Other,Event,"04/30/2026, 11:33:54 PM",,,,,,,,
